"Sample","SA1","SA2","SA3","SA4","SA5","SB1","SB2","SB3","SB4","SB5"
"Label","A","A","A","A","A","B","B","B","B","B"
"100.01431","902409.228","8939558.3501","10121672.77247","11128484.75884","13704985.52897","4720595.53209","264125.87731","10691200.48401","12152240.104","13604008.4233"
"100.5161","56458.28575","414042.29322","439989.10211","494134.01529","411466.46203","48684.72437","291658.49884","372738.15081","462344.09849","514636.42152"
"102.12789","488076359.92752","510268988.05533","528256195.30996","407389363.39659","438024583.12184","435371290.06874","428351461.47874","174447459.77079","353109428.8937","135443962.21233"
"102.53561","44435655.32062","33731969.2108","33285115.51765","32184208.77811","33847807.85972","39751322.00484","33400963.28118","32242058.65355","34215052.43371","36587570.38302"
"103.13129","34088313.53078","16548710.41544","30973552.78046","27582700.48438","25447055.95986","30405197.24042","30616707.2475","29089869.28965","29459130.82042","25237049.34612"
"103.53198","422964.48158","228657.78066","311860.0633","288193.64931","272803.05659","355058.75249","323209.68551","318319.07901","187308.312","277221.27493"
"104.53209","607829.69478","573957.37985","553206.26303","578903.05027","447224.78089","721904.98478","501212.15851","535758.9396","459015.15605","454594.27626"
"105.03379","3639650.17195","4038716.85835","3560575.52013","3567545.92147","3439963.10686","3765768.24847","3402394.32554","3324900.76879","3272057.3093","3360574.69504"
"106.03702","200911.61106","220413.28465","188172.22034","203143.61181","171927.34063","188656.41604","175487.23688","126496.50752","175168.65719","169730.39713"
"107.08969","12684950.03227","12652683.01746","12178222.61755","11939535.89602","12221781.57098","16672186.71207","15475148.10175","13695758.20327","15846006.82981","15878638.14553"
"108.09072","622750.4683","552153.61699","528641.01493","535561.25258","567304.57684","766606.2486","740046.72917","778288.41104","701617.54565","746627.05273"
"109.04507","12144158.8761","11600898.51498","12618804.3653","12493959.17373","12673431.97318","15202354.53522","12922557.717","13252677.74177","13318693.56551","14079963.43563"
"110.02028","1262025575.95544","1313820185.08966","1297099675.1505","1275304774.12208","1184109984.20448","1132763397.52705","1054870486.34211","982943215.20002","902848006.97999","881986439.67017"
"110.02021","214893900.00842","20111346.82666","126935740.77091","185042138.30981","181587326.48695","259593028.07631","150263959.57333","181587819.588","227282494.30313","72788517.237"
"110.02021571","359353258.628","405453069.3042","299629402.64074","354703655.48556","184914708.27852","34903248.48","334443297.25961","386929016.42857","311082593.45615","311317466.53193"
"110.02018","35921201.37143","241214287.62146","19842321.03333","33742742.13333","18702686.93333","67214195.37358","18319649.7","202031518.65","16311596.4","123741044.6731"
"110.02026","364487455.04507","392657421.77586","208960644.84924","324782941.65279","264174662.66816","301692279.15978","364772899.59127","286050035.31661","273711969.78718","239925105.7632"
"110.02014","199723733.21037","602039101.70587","478561441.17275","441122594.81999","376174437.6066","237703392.86857","470346783.33913","47056361","409541208.44557","467120593.36753"
"110.0484","550800.41151","672880.52219","729788.59114","721469.88388","758484.99826","969085.61297","773214.80965","832045.40752","822199.2397","657354.38491"
"110.02021649","131062566.10131","260678360.99148","157693515.62438","390731911.373","162273179.86229","159881418.77205","158770234.02205","169972409.74814","9273735.13","146975594.43847"
"110.52191","11965287.54492","14542229.29625","12145895.61403","1200507.80437","12029392.56865","1522224","25972276.38627","6587246.51644","7986852.45159","17083816.42362"
"110.52179","31472808.51845","11170373.97541","10090130.78987","7248366.96029","69939384.61886","65025204.68871","40178050.41833","5674955.0704","5105890.97879","23957678.61754"
"110.52187","27717332.04545","34599276.86879","24607992.93956","29242277.73272","24473110.44464","51008307.93266","25041548.357","16913563.59791","24456769.64009","22300299.90117"
"110.52189","17106927.6911","22552589.92724","18061616.06516","17229231.753","17706896.55955","23613626.55978","16641770.89625","13150715.03781","18924227.05875","26983902.97517"
"110.5219","19683453.85042","28555569.77893","21393798.38209","39279957.96103","21444766.64427","21502745.43698","28529165.7469","19763113.46801","19141742.2192","20992362.9338"
"110.5219163","33625984.42683","48111633.82632","38339520.38293","36007900.54772","37707988.04814","47612192.3986","35609188.93088","29638669.64002","34848950.25174","18276353.22704"
"110.52196","11065273.43043","8651671.85498","6723458.30013","1244027.11375","5768470.45049","6371665.395","5668974.18056","4204784.23508","1160828.8925","5417630.43125"
"111.03928","73286721.14848","54259662.48683","54433676.8322","52152722.45165","52773451.62138","61826677.75529","53925809.87804","52966054.88684","54536709.7705","57565493.5183"
"111.02026","456572849.53424","488901068.44794","461141033.25643","453296991.51","441374806.05347","477417741.71538","484874395.7811","422832313.97379","409525192.41644","435710164.17308"
"111.0203","10360801.4875","83107895.98029","215827522.28854","60121976.15977","62307218.9406","53052064.95859","83405.73937","12677464.8","143986749.17183","59837674.23143"
"111.54099","5217044.27255","3701784.97111","3699425.41116","3581565.61184","3688860.08595","4267766.15842","3434714.98213","3574744.53692","3605145.98683","3673859.60492"
"116.01516","41979730.603","40111914.13808","39140681.93234","39196511.31623","39582456.38253","40473805.38649","39608879.34765","38780865.67698","38509183.43332","38318689.14326"
"116.51689","5221845.44167","3034407.23504","2953263.31421","4004278.81554","2639709.60294","3618814.48131","2868069.64248","3011577.27817","2698855.7998","2784999.95746"
"119.08566","26643240.28113","423850.26623","25693819.42091","25651212.50742","26240145.25656","405470.89515","24863204.86458","24540618.14967","463198.05851","24583351.34126"
