"","Fold Change","log2(FC)"
"250.01367",3757600,21.841
"317.04808",2460500,21.231
"383.0443",2002000,20.933
"317.09611",1840100,20.811
"328.6631",1779700,20.763
"526.28265",1643200,20.648
"816.5715",1418100,20.436
"369.02882",637350,19.282
"615.49975",1.6125e-06,-19.242
"385.06779",464010,18.824
"837.54997207",452920,18.789
"817.57432",416910,18.669
"699.24286",2.886e-06,-18.403
"639.41076",339000,18.371
"611.28455",330030,18.332
"593.36861",318780,18.282
"232.5605",317450,18.276
"270.6179",305830,18.222
"364.1601",287000,18.131
"164.83525",3.6298e-06,-18.072
"344.23131",3.7588e-06,-18.021
"791.02288",3.8159e-06,-18
"144.06953",252650,17.947
"838.55322",234610,17.84
"272.04919",225170,17.781
"228.03797",4.4443e-06,-17.78
"226.02706",4.9334e-06,-17.629
"577.37435",201520,17.621
"593.32472",194500,17.569
"797.01452",5.5898e-06,-17.449
"538.32066",173000,17.4
"701.2399",5.9223e-06,-17.365
"511.26361",166140,17.342
"446.1519",162310,17.308
"479.26553",6.1825e-06,-17.303
"346.24646",6.2886e-06,-17.279
"465.28589",6.2883e-06,-17.279
"516.34558",156410,17.255
"314.05029",136840,17.062
"794.02356",7.3339e-06,-17.057
"468.32186",7.5072e-06,-17.023
"524.16582",132450,17.015
"285.11368",7.8336e-06,-16.962
"617.33199",8.0704e-06,-16.919
"612.2878",117800,16.846
"787.39743",114730,16.808
"370.03223",111580,16.768
"306.19082",8.999e-06,-16.762
"796.02061",9.107e-06,-16.745
"160.84124",9.1298e-06,-16.741
"700.24601",9.2315e-06,-16.725
"314.09723",107770,16.718
"609.48794",107050,16.708
"595.23399",9.5979e-06,-16.669
"699.22434",9.8792e-06,-16.627
"491.33352",101010,16.624
"277.12285827",100930,16.623
"775.44607",95461,16.543
"265.11289",1.0864e-05,-16.49
"631.32707",1.0895e-05,-16.486
"197.80747",1.1238e-05,-16.441
"818.5773113",87044,16.409
"286.11693",1.1762e-05,-16.376
"541.14559",85031,16.376
"303.19685",1.2316e-05,-16.309
"727.4024",79808,16.284
"241.12339",1.3477e-05,-16.179
"637.32455",1.3596e-05,-16.167
"544.37707",71724,16.13
"792.02637",1.4333e-05,-16.09
"195.81042",1.4648e-05,-16.059
"698.23047",1.4979e-05,-16.027
"330.10685",1.4989e-05,-16.026
"839.55657",65879,16.008
"467.31975",1.5301e-05,-15.996
"211.03971",1.5544e-05,-15.973
"162.83818",1.5572e-05,-15.971
"245.04869",63321,15.95
"355.06372",63309,15.95
"493.24517",1.6021e-05,-15.93
"405.17369",59786,15.868
"199.80453",1.7323e-05,-15.817
"245.56465",55783,15.768
"369.12578",54762,15.741
"702.24294",1.9234e-05,-15.666
"343.21868",2.0714e-05,-15.559
"483.28673",2.098e-05,-15.541
"195.81048",2.1001e-05,-15.539
"798.01777",2.1743e-05,-15.489
"479.30212",2.186e-05,-15.481
"839.0257",2.1869e-05,-15.481
"257.14779",45701,15.48
"776.44943",45004,15.458
"476.27833",42756,15.384
"799.01181",2.3737e-05,-15.363
"516.24506",2.3979e-05,-15.348
"833.51912",41469,15.34
"625.27954",39664,15.276
"579.19004",2.5498e-05,-15.259
"345.24415",2.5651e-05,-15.251
"365.14295",38448,15.231
"227.03485",2.6021e-05,-15.23
"611.3798",36997,15.175
"482.27247",2.7751e-05,-15.137
"658.34582",2.8053e-05,-15.122
"841.02342",2.8288e-05,-15.109
"609.47897",34681,15.082
"197.80749",2.8865e-05,-15.08
"422.13367",34421,15.071
"141.86707",2.9802e-05,-15.034
"638.36457",2.9858e-05,-15.032
"632.33027",3.0812e-05,-14.986
"391.14937",3.3233e-05,-14.877
"517.2576",3.3292e-05,-14.874
"266.11175",3.3716e-05,-14.856
"491.22956",3.3817e-05,-14.852
"785.58351",29543,14.851
"345.23449",3.4005e-05,-14.844
"141.86703",3.4063e-05,-14.841
"828.99683",3.4338e-05,-14.83
"275.1768",3.4961e-05,-14.804
"379.15467",28468,14.797
"569.24728",3.5131e-05,-14.797
"830.99424",3.5496e-05,-14.782
"638.32784",3.6677e-05,-14.735
"641.1355",3.6951e-05,-14.724
"369.02874",26575,14.698
"419.07319",3.8675e-05,-14.658
"359.2236",3.8775e-05,-14.654
"385.06034",25190,14.621
"697.22719",3.9764e-05,-14.618
"472.24592",4.0759e-05,-14.583
"301.25399",4.1365e-05,-14.561
"444.10637",4.2378e-05,-14.526
"301.14496",4.3346e-05,-14.494
"250.07218",23030,14.491
"813.54497",22991,14.489
"815.5684",22953,14.486
"680.27548",22924,14.485
"351.06412",4.3759e-05,-14.48
"297.22271",4.3899e-05,-14.475
"365.13881",22480,14.456
"647.26158",22035,14.428
"446.10326",4.5502e-05,-14.424
"834.52255",21971,14.423
"352.08895",4.5704e-05,-14.417
"517.02884",4.6139e-05,-14.404
"424.22752",21272,14.377
"263.6282",21153,14.369
"348.16838",20980,14.357
"345.24404",4.7793e-05,-14.353
"514.98611",5.0484e-05,-14.274
"636.31257",5.2043e-05,-14.23
"424.89396",5.3131e-05,-14.2
"598.35753",5.3377e-05,-14.193
"724.37248",5.4123e-05,-14.173
"455.31684",5.5774e-05,-14.13
"526.2479",17591,14.103
"162.83824",5.6827e-05,-14.103
"635.30929",5.7883e-05,-14.076
"784.58085",17144,14.065
"413.05614",5.9241e-05,-14.043
"232.56009",16738,14.031
"494.24831",5.9776e-05,-14.03
"492.23266",6.2198e-05,-13.973
"304.20023",6.402e-05,-13.931
"491.22925",6.7033e-05,-13.865
"405.09416",14795,13.853
"361.18581",7.1938e-05,-13.763
"333.17114",7.6347e-05,-13.677
"580.19316",7.8408e-05,-13.639
"695.23009",7.8498e-05,-13.637
"656.33085",8.1831e-05,-13.577
"508.31867",8.2708e-05,-13.562
"774.4457",8.3361e-05,-13.55
"477.28162",11772,13.523
"809.37594",8.5229e-05,-13.518
"537.18045",8.5948e-05,-13.506
"242.12677",8.6444e-05,-13.498
"375.0827",11065,13.434
"302.14849",9.1407e-05,-13.417
"533.27377",9.1707e-05,-13.413
