"Sample","0027_XAV_iHMP2_FFA_SM-77FXR","0030_XAV_iHMP2_FFA_SM-6KUCT","0051_XAV_iHMP2_FFA_SM-9WOBP","0069_XAV_iHMP2_FFA_SM-9OS5Y","0393_XAV_iHMP2_FFA_SM-AMR37","0407_XAV_iHMP2_FFA_SM-AUP8B","0433_XAV_iHMP2_FFA_SM-9SNJ4","0508_XAV_iHMP2_FFA_SM-9X47O"
"Label","CD","CD","CD","CD","nonIBD","nonIBD","nonIBD","nonIBD"
"73.02799","2742381.1377","260846441.64995","6796598.40843","76341550.48123","5023199.02239","4775021.37713","1095529.37065","1529711.84033"
"74.03136","22903.8796","8149290.21394","52705.21545","1834159.89432","84411.19493","18895.98624",NA,NA
"87.04368","19485085.00004","9517513.35608","102464.43798","19584667.90723","24035815.16265","12439723.06478","11238392.13352","2656483.29478"
"88.04703","652663.67385","287542.39857",NA,"611705.473","662365.15288","296854.59798","307969.09936","37299.70593"
"89.02297","16564773.34413","165532946.46296","512668032.57179","17555780.14494","51643613.52047","32714060.15722","11415379.87054","9606132.55442"
"90.02622","175217.73929","3444361.33719","13218441.52388",NA,"897401.99701","124385.31331","72604.85711",NA
"91.05389","132982136.09612","7449146.18923","21693.84537","7905319.29106","56980704.88629","27081396.22591","30483887.63426","14430672.17042"
"92.05724","10414646.82604","478931.56429",NA,"496810.08917","3168558.32056","1931976.87341","2039509.52175","982040.55636"
"101.05949","30578949.9357","13556551.39188","62463.22979","1900402.81742","21329856.46271","8126685.93283","7191461.75213","924900.50002"
"101.05952","43204142.31321","1856033.14921","54623.16572","9993035.24083","34254720.81237","11925943.85771","11670580.78101","1412720.12173"
"102.06287","2113829.10839","64600.2385",NA,"421771.42968","1498890.64644","480342.24748","477817.84359","19587.52898"
"102.06275","1442774.26969","287178.84903",NA,"11472.25391","870308.03398","212740.13532","134444.54129","4741.41887"
"106.04106","9666507.98725","1847729.41393",NA,"28883412.8835","50760.78217","204888.19408","14422.4424","15351.81588"
"107.04894","35601968.2597","1715855.74213","20759.9704","3310954.37779","15706328.11074","34012098.56426","76682359.37334","10969170.20987"
"107.04667","131158.35239",NA,NA,"2263814.61167",NA,NA,NA,NA
"108.0442","190960.39268","1441904.36458","2913018.60492","1584085.62744","462145.16141","546771.01106","1280044.29227","347577.33927"
"109.02822","8797435.66514","5556788.24252","456861.19302","49038665.76191","2361949.71652","7267167.78136","8322203.78976","3144667.84866"
"110.03157","471758.11486","255398.38938",NA,"2146443.08604","10363.35628","293965.34223","253713.9998","54739.04019"
"111.08033","850995.43609","1117684.38048","802442.38374","1471198.34174","2852397.63196","2318107.64493","4080700.96074","2775508.84993"
