"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"73.02799",-0.011204,0.00013665,-0.0019787,-0.0044628,0.0024613,-0.01924,-0.011771,-0.593
"87.04368",0.002568,0.0093984,0.00073273,-0.00059508,0.00064448,-0.0014776,-0.00091236,-0.43507
"89.02297",-0.0093242,-0.011904,0.0066359,0.004093,-0.0013307,-0.0059406,-0.007967,-0.11425
"90.02622",-0.015219,-0.014592,0.040891,0.032455,0.0045787,-0.0080902,0.0043272,-0.033459
"91.05389",0.0082344,0.014047,-0.0014867,0.0076968,-0.0031416,0.0062959,-0.0004783,0.25159
"92.05724",0.012366,0.022275,-0.0044953,0.0089617,-0.0021679,0.0040142,-0.0011465,0.4997
"101.05949",0.0018689,0.01056,0.0057466,0.0099105,-0.00028015,-0.0010344,-0.00029226,0.2855
"101.05952",0.0046794,0.010928,0.0043673,-0.00023731,-0.00038095,0.0089408,0.0022401,-0.00046918
"106.04106",-0.0055023,0.03125,-0.011736,-0.0079394,0.0094674,0.0018413,-0.011147,-0.003787
"107.04894",0.011268,0.0090001,-0.0025066,0.0073702,0.0038691,0.0073861,0.0043487,0.0021054
"109.02822",-0.0011318,0.0034212,-0.0069467,-0.0054528,0.0067359,0.00040024,1.12e-05,-7.0201e-05
"111.08033",0.0014667,-0.0062645,-0.0013381,0.00085887,-0.0013743,-0.0017456,-0.00069428,0.00054872
"115.07526",0.008128,0.0063827,0.0032241,0.02283,-0.0016275,0.0059117,-0.0043371,0.00057824
"115.07527",0.009922,0.0059281,0.00019991,0.01789,-0.0017288,-0.003463,-0.011903,0.00020168
"116.07055",-0.0068635,-0.0076324,0.010328,-0.0065701,0.0010309,0.0026525,-0.0068871,0.0016244
"117.07386",-0.01409,-0.0015891,0.035207,-0.012771,0.018784,0.0032173,0.0069849,0.0020055
"119.04908",-0.01064,0.0025131,-0.0031976,-0.0084466,-0.0022437,0.008377,-0.0033574,-0.00050317
"120.05231",-0.014646,0.0026953,-0.0080511,-0.0074768,0.007197,0.010961,-0.0061027,0.00071734
"121.02834",-0.00048108,-0.0077421,-0.0001337,0.0026677,-0.0062584,0.0072112,0.0035574,-0.0005463
"121.06477",0.0034126,0.0038552,0.0021543,0.0057345,-0.0059985,-0.027311,-0.01441,9.4422e-05
"121.06475",-0.0040734,0.01882,-0.0095009,-0.0071273,0.0018996,0.0026157,-0.0040643,0.0010436
"122.03176",3.3681e-05,-0.0092772,-0.00094254,-0.00063153,-0.01155,0.013761,0.0087948,0.00027534
"122.06803",-0.00099485,0.030485,-0.015699,-0.006198,0.0054584,0.00014291,-0.010259,-0.0027087
"123.04404",0.0068516,0.0078392,-0.017963,0.0096551,0.0023563,0.0019402,-0.0060124,0.0015766
"125.03453",0.00076641,-0.0024032,0.009559,-0.0078363,0.00013022,0.0010345,-0.0091323,-0.0012772
"125.09604",0.0058803,-0.0078476,0.0019864,0.0011313,0.00020364,-0.00028057,0.0031405,-0.0001139
"126.09939",0.0065776,-0.0083977,0.0024043,0.00053876,-2.8248e-05,-0.00051777,0.0028792,0.0022644
"127.03899",0.012881,0.019459,-0.013312,-0.0035627,-0.011011,-0.010814,0.0048264,0.00051785
"129.05456",-0.0025848,-0.006702,0.0084527,0.0060421,-0.0055122,0.0037413,-0.0079949,-2.5546e-05
"129.09095",0.01427,-0.0031956,0.0034725,0.017073,0.0031688,0.0083604,-0.004985,0.00092128
"130.05784",-0.00021288,-0.01326,0.022727,0.039944,-0.0088399,0.0064301,-0.012532,0.0045804
"130.06514",0.016226,0.017802,-0.0024976,0.010772,-0.0025032,0.0058443,-0.0076012,0.0031063
"131.0365",0.0031332,0.0089549,0.0061274,0.0092734,0.0053579,0.00036625,-0.0007868,-0.00074476
"131.07024",-0.0087014,-0.0032817,0.010332,-0.010275,-0.0034078,0.0035948,-0.0042872,-0.0069829
"132.07355",-0.011653,-0.0020227,0.017449,-0.013927,-0.0001195,0.0016487,-0.003902,0.0012599
"135.04402",0.0023753,0.0052518,6.9058e-05,0.0058745,-0.003007,0.0088744,-0.00057228,0.00028239
"135.04394",-0.023593,0.0081004,0.012042,-0.025599,0.039541,-0.0058005,0.017694,0.0032836
"135.04418",0.0086489,-0.0013093,-0.015566,-0.027995,-0.00098379,0.0082184,0.0041558,4.3529e-05
"136.04728",-0.0152,-0.0060625,-0.0077483,-0.026316,0.010617,-0.011914,0.0014764,-0.0020627
"136.07572",0.01821,0.003845,0.0015414,-0.0073341,-0.0027309,3.9737e-05,0.0020982,-0.00015604
"136.89064",0.026359,0.011196,-0.0064706,-0.019723,-0.00042687,-0.0063135,-0.0037779,0.00062807
"137.0596",-0.0022439,-0.0039276,-0.012864,-0.0088843,0.00064854,-0.00485,-0.022026,-0.00175
"138.05497",0.0056274,0.005143,0.0036624,-0.0041924,0.0033028,0.018785,0.01064,-0.0019845
"139.05815",0.0068491,-0.00020008,-0.00086163,0.0029092,-0.007464,0.0097112,0.003948,0.00038928
"139.11174",0.0070566,-0.0042506,0.00014113,-0.0025842,-0.0019397,-0.00048968,-0.00044499,9.2758e-05
"141.01582",-0.0036572,-0.0067976,-0.0025552,0.0072713,-0.0013939,-0.0048916,-0.0048784,0.0012688
"143.10661",0.0017804,-0.0036149,0.014463,0.0068893,-0.021885,-0.0096794,-0.0087961,0.0018643
"143.07034",0.0052545,0.00058688,-0.012314,-0.015675,0.0028871,0.00064105,0.0016873,-0.00057088
