"","Overall"
"317.09611",100
"369.02882",98.068
"232.5605",96.446
"285.11368",92.871
"526.28265",91.883
"164.83525",91.7
"286.11693",90.544
"383.0443",90.2
"241.12339",89.726
"330.10685",88.193
"609.48794",87.987
"369.02874",87.982
"594.33737",87.752
"468.32186",87.575
"344.23131",87.399
"476.27833",86.715
"370.03223",85.445
"160.84124",84.29
"162.83818",83.852
"524.16582",83.742
"577.37435",83.704
"467.31324",83.239
"617.33199",83.102
"816.5715",82.717
"303.19685",82.609
"391.14937",82.361
"365.14295",82.016
"386.13606",81.841
"477.28162",81.499
"272.04919",81.432
"345.24415",81.355
"419.07319",81.056
"197.80747",80.937
"354.10421",80.906
"541.14559",80.779
"301.14496",80.779
"635.30929",80.391
"265.11289",80.37
"609.47897",80.175
"595.23399",80.169
"593.36861",79.711
"352.08895",79.43
"611.28455",79.211
"385.06034",79.107
"516.34558",78.986
"472.24592",78.979
"195.81042",78.979
"437.12496",78.825
"636.31257",78.698
"245.04869",78.563
"245.56465",78.549
"595.34024",78.502
"195.81048",78.404
"455.31684",78.206
"637.32455",78.172
"351.06412",78.105
"199.80453",77.736
"413.05614",77.69
"479.26553",77.465
"144.06953",77.246
"351.08561",77.243
"405.17369",77.236
"508.31867",77.166
"359.2236",77.078
"638.36457",76.89
"424.22752",76.73
"391.13745",76.67
"837.54997207",76.42
"787.39743",76.262
"610.33297",76.02
"116.92739",76.006
"361.18581",75.832
"414.16706",75.787
"141.86707",75.547
"160.84126",75.475
"724.37248",75.365
"656.33085",75.322
"547.32951",75.318
"242.12677",75.317
"615.31659",75.291
"424.89396",74.868
"610.33302",74.776
"785.58351",74.473
"493.24517",74.374
"774.4457",74.329
"593.33498",74.27
"387.22147",74.175
"727.4024",73.917
"465.28589",73.73
"651.29352",73.692
"367.18792",73.659
"608.47612",73.619
"317.04808",73.596
"400.15131",73.565
"815.5684",73.561
"612.2878",73.263
"817.57432",73.262
"593.32472",73.236
"385.16923",72.916
"302.14849",72.903
"277.12285827",72.484
"333.17114",72.469
"818.5773",72.286
"775.44607",72.229
"305.14303",72.214
"508.32769",72.065
"629.31106",72.064
"491.22956",72.037
"609.32972",71.917
"250.01367",71.816
"314.1118",71.473
"239.99699",71.367
"817.57438",71.35
"838.55322",71.344
"162.83824",71.246
"540.36668",71.232
"609.32976",71.13
"612.50788",71.076
"699.24286",70.766
"141.86703",70.611
"531.25796",70.575
"839.55667",70.493
"791.02288",70.399
"262.1644366",70.301
"226.02706",70.27
"446.1519",69.897
"355.06372",69.661
"540.31659",69.576
"293.10081",69.575
"536.3233",69.569
"423.34851",69.518
"321.18228",69.508
"444.10637",69.476
"507.31524",69.286
"538.32066",69.226
"322.18587",69.089
"469.38948",69.038
"369.12578",69.004
"385.06779",68.895
"197.80749",68.858
"382.09174",68.829
"263.09056",68.722
"837.54997",68.449
"230.01261",68.343
"275.1768",68.259
"335.09074",68.243
"797.01452",68.201
"428.18265",68.015
"306.19082",67.969
"427.23167",67.964
"175.05531",67.898
"776.44943",67.893
"585.34281",67.892
"621.4001",67.814
"367.01352",67.641
"807.56613",67.626
"180.04234",67.609
"612.3488",67.578
"638.32784",67.513
"596.34255",67.307
"833.51912",67.294
"631.32707",67.084
"521.32337",67.07
"194.04852",67.058
"488.31464",67
"518.36116",66.859
"376.1043",66.77
"480.26709",66.663
"625.27954",66.663
"816.57141",66.631
"580.19316",66.574
"794.02356",66.563
"701.2399",66.546
"433.28112",66.545
"356.16052",66.488
"279.17168",66.426
"422.13367",66.38
"261.16106",66.38
"232.97519",66.363
"314.05029",66.339
"224.56308",66.332
"838.55337",66.323
"516.24506",66.275
"537.18045",66.099
"472.33581",66.097
"492.23266",66.051
"466.12383",65.962
"431.13841",65.938
"228.03797",65.936
"483.28673",65.914
"484.25565",65.91
"579.19004",65.824
"348.18532",65.796
"439.30271",65.668
"358.10493",65.506
"796.02061",65.466
"360.19346",65.354
"252.57261",65.322
"379.15467",65.242
"793.02004",65.143
"482.27247",65.069
"495.35187",65.068
"331.10016",65.061
"287.16874",64.854
"420.15162",64.851
"329.10364",64.808
"315.13004",64.779
"818.5773113",64.586
"634.48949",64.577
"632.47384",64.531
"371.11681",64.528
"683.30398",64.488
"610.49164",64.457
"637.36112",64.391
"815.569",64.339
"343.21868",64.337
"542.24265",64.317
"351.19316",64.253
"590.30556",64.129
"700.24601",64.092
"699.22434",64.024
"415.14055",64.01
"479.30212",64
