"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7"
"73.02799",-0.011211,0.0027094,0.003462,0.013576,0.012589,0.0026608,-0.0025963
"87.04368",0.0018642,-0.0085796,0.0083784,-0.0023971,0.0020661,8.0364e-05,-0.00025889
"89.02297",-0.0081342,0.017925,-0.0033774,0.0035118,0.0029665,0.0035558,0.0023854
"90.02622",-0.012685,0.042474,0.013436,-0.027803,-0.0018458,0.018462,-0.013011
"91.05389",0.0071942,-0.01349,0.012787,-0.0055287,-0.0085977,0.0039159,0.0037595
"92.05724",0.010636,-0.022679,0.01927,-0.0047568,-0.0090154,0.0062444,0.0023853
"101.05949",0.0013227,-0.0048084,0.014322,-0.0074888,-0.0036154,0.0062131,-0.0016251
"101.05952",0.0039033,-0.0098222,0.008529,-0.011118,-0.0012051,-0.0023066,0.0038297
"106.04106",-0.0083661,-0.035556,0.016877,5.256e-05,0.0088591,0.0046911,0.0076117
"107.04894",0.010519,-0.01161,0.0052848,-0.007239,-0.0071941,0.0066259,-0.0011423
"109.02822",-0.0016914,-0.0085069,-0.003649,0.0025254,0.00412,0.0011631,-0.0010329
"111.08033",0.0019472,0.0053939,-0.0045161,0.0041077,-0.001301,0.00038188,-0.00028328
"115.07526",0.0079671,-0.001052,0.012691,-0.0074143,-0.01509,0.01629,0.0038678
"115.07527",0.0097366,-0.0018392,0.013284,0.0019617,-0.0081024,0.015656,0.0046875
"116.07055",-0.0060837,0.011654,-0.0040934,-0.0046241,0.010002,-0.004394,0.0076265
"117.07386",-0.013366,0.014423,0.0023197,-0.033588,0.029332,-0.0070661,-0.005809
"119.04908",-0.011041,-0.0041095,-0.0031145,6.4632e-05,0.0016804,-0.0064885,0.0092096
"120.05231",-0.01526,-0.007338,-0.0079297,0.00031239,0.0037026,0.0013165,0.0098564
"121.02834",0.00013931,0.0074681,-0.0063472,-0.00051805,-0.0084271,-0.0029624,0.002935
"121.06477",0.0034672,0.0033471,0.01658,0.01552,0.0066337,0.0055919,-0.00439
"121.06475",-0.0058753,-0.022681,0.0088025,0.0017343,0.0028086,-0.001502,0.0048453
"122.03176",0.00070664,0.0073951,-0.0097312,-0.0021951,-0.012714,-0.010123,0.0048251
"122.06803",-0.0038437,-0.036432,0.016711,0.0047922,0.00432,0.0042055,0.0067207
"123.04404",0.0058719,-0.015173,0.0014635,0.010325,-0.011297,0.013428,0.0030782
"125.03453",0.0011391,0.0053919,0.00090677,-0.0038133,0.011402,-0.0050491,0.0087716
"125.09604",0.006549,0.0070064,-0.0055001,-0.00019055,-0.00091401,-0.00022547,-0.0026799
"126.09939",0.0072979,0.0075336,-0.0057436,-4.7117e-05,-0.00033451,-0.00079403,-0.0024614
"127.03899",0.011132,-0.024264,0.01543,0.011759,-0.0059055,-0.0075417,-0.0066557
"129.05456",-0.0017402,0.012782,0.0012146,-0.0029084,-0.0024279,0.0017283,0.0090165
"129.09095",0.014753,0.0043371,0.0016741,-0.0068402,-0.0096716,0.014889,0.0052949
"130.05784",0.0019039,0.032787,0.011921,-0.013756,-0.020632,0.023456,0.010262
"130.06514",0.014928,-0.017777,0.017571,-0.0041826,-0.0084722,0.0087299,0.0081434
"131.0365",0.0026674,-0.0045881,0.011132,-0.0094666,-0.00058364,0.0090596,-0.0019132
"131.07024",-0.0082782,0.0077215,-0.0009017,-0.0053698,0.0094128,-0.010537,0.0080351
"132.07355",-0.011196,0.009468,0.0015434,-0.010841,0.016945,-0.01266,0.0064042
"135.04402",0.002014,-0.004461,0.0047004,-0.0052565,-0.0077535,0.0022933,0.0056101
"135.04394",-0.024513,-0.0093376,-0.0083667,-0.022582,0.038751,-0.0026444,-0.023588
"135.04418",0.0080006,-0.014916,-0.017226,0.0096073,0.0080778,-0.020016,0.0057375
"136.04728",-0.015256,-0.0013944,-0.016217,0.01205,0.022664,-0.011679,-0.0073776
"136.07572",0.017911,-0.0072892,0.0031815,-0.0015006,0.0037223,-0.0079389,0.00034868
"136.89064",0.02519,-0.021109,0.0047185,0.0073934,0.013707,-0.01241,0.0019818
"137.0596",-0.0022985,-0.0022749,-0.0071129,0.019636,0.008499,0.0024865,0.014367
"138.05497",0.0051351,-0.0082699,-0.0023376,-0.016699,-0.0026095,-0.0057069,0.002877
"139.05815",0.006874,-0.0011033,-0.00036322,-0.003116,-0.010088,-0.0036174,0.0043961
"139.11174",0.0073871,0.0024661,-0.0030925,0.0021993,0.00094765,-0.002922,0.0009723
"141.01582",-0.0030768,0.0082239,-0.0025871,0.0072893,-0.003977,0.0066665,1.6839e-05
"143.10661",0.0027557,0.016596,0.015012,0.0030808,-0.0041938,-0.0075364,0.0063627
"143.07034",0.0046924,-0.011377,-0.0099171,0.0087421,0.0061863,-0.0081572,0.00031136
"144.04442",-3.663e-05,0.007466,-0.0044057,-0.0029843,-0.0037824,-0.005851,0.0052981
"144.04441",0.00096564,0.0030902,0.0030539,-0.0035679,-0.0041911,0.006358,0.0030189
"144.99824",0.00095326,-0.0081979,0.00075028,0.0040412,-0.00089667,0.0047307,0.0029194
"145.0496",0.0088926,0.00084511,0.0010032,-0.0025968,-0.0011521,0.00353,0.0014691
"145.09722",-0.0044898,0.016553,-0.0033105,0.001259,0.0026898,0.002658,0.007916
"146.06001",0.0010171,-6.9387e-05,0.0072698,-0.0088037,-0.0014416,0.0082547,-0.00067716
"146.1002",-0.0047787,0.017303,-0.003432,0.0019215,0.0024546,0.0036174,0.0086752
"146.9958",-0.0040822,-0.0054556,-0.014481,0.0026512,0.015624,0.0024349,0.011963
"147.06334",0.0013272,-0.00070129,0.0081099,-0.0091049,-0.0014988,0.0088692,-0.00089565
"149.05976",0.010502,-0.013145,0.0022146,-0.010421,-0.0072591,-0.0024899,0.0071895
"149.09611",0.023719,-0.0014262,0.012737,-0.023834,-0.032085,0.01566,0.0059509
"150.06307",0.013045,-0.018256,0.0052705,-0.010737,-0.0074755,-0.0024586,0.0071687
"151.02522",-0.0017955,0.010035,-0.0048225,-0.0021195,0.0028206,-0.0011872,0.0082541
"151.03899",-0.0062639,-0.0046106,-0.0056111,0.0089211,0.0025179,0.0048704,-0.0016917
"152.02852",-0.012006,0.019688,-0.026965,0.0060157,0.011299,-0.013911,0.0053046
"152.04231",-0.0051473,-0.0012727,0.004248,0.008893,0.0020967,-0.00086335,0.0066081
"153.01829",-0.0078904,0.016052,-0.015923,0.0080011,0.0014067,-0.004938,0.0045409
"153.01842",0.012209,-0.02792,0.017429,0.0069434,0.0021624,0.003702,-0.0089391
"153.09111",0.011027,-0.0011208,0.0058028,0.0035436,-0.0009346,0.0026317,0.00018188
"155.10673",-0.0014643,-0.0025917,-0.0036054,0.00021287,0.009587,0.00070708,0.0064579
"155.10674",-0.002639,-0.0063996,0.013897,-0.0078973,0.0052143,-0.00099883,0.004216
"156.01132",0.0044921,0.035356,0.0095428,-0.011027,-0.033779,0.033727,0.00083189
"158.97769",-0.0062298,0.028198,0.0046492,-0.0019918,-0.0026189,-0.00717,-0.035722
"159.10167",0.001474,0.008376,-0.0019211,0.0028755,0.00032485,-0.0048928,0.0023778
"159.06528",0.0039947,-0.0050173,0.002452,0.0045939,0.0014029,0.0068001,0.0052185
"159.97819",-0.0024245,0.0015206,-0.006291,0.0032011,-0.0017752,0.0033209,0.004841
"161.08091",-0.0091698,-0.0038415,0.0008727,0.0029523,0.0099267,-0.010864,-0.0064809
"162.05501",-0.0014025,0.0049061,0.011423,-0.01982,0.0046994,0.011005,-0.0089762
"163.05819",0.0040527,-0.025597,0.030671,-0.02358,0.018636,0.0079308,-0.018886
"164.07077",-0.0064782,0.01308,-0.0056012,-0.0040028,0.0095816,-0.0027691,0.0087447
"165.01843",0.00050465,0.00090833,0.0010569,0.0040221,0.001962,0.00087141,0.002612
"165.0548",0.0010076,-0.00027509,0.013256,0.012061,0.0049608,0.0030821,-0.0019837
"165.05475",-0.01208,-0.0025029,-0.0026821,-0.0026222,0.00090288,-0.0073759,0.010423
"165.05483",0.0086281,-5.2908e-05,-0.0056021,0.0075557,-0.00046733,-0.0080566,0.0017802
"165.07412",-0.0069952,0.013329,-0.0052533,-0.0047559,0.010509,-0.0026126,0.0090206
"166.05796",-0.01361,-0.0022041,-0.0012894,-0.0032877,0.0028075,-0.0074666,0.013835
"167.06131",-0.0063326,-0.00080235,-0.00092051,-0.025553,0.017336,-0.0033956,-0.0058944
"170.08152",0.010894,0.00086718,0.0020656,0.0053571,-0.011134,-0.013535,-0.0076791
"171.13809",-0.00015188,0.010858,0.012517,0.002496,-0.0045866,-0.012643,0.00082882
"172.09708",-0.0019639,0.0021043,-0.0012771,-0.008479,0.0058008,0.00026989,0.0010795
"172.99336",-0.0017824,0.00061791,-0.0060766,0.0030343,-0.0012624,0.0030471,0.0047177
"173.11752",0.0050859,0.0030666,0.0013535,0.0024842,-0.0018083,-0.0051394,-0.0019034
"173.08111",0.0027817,0.0049141,-0.0062738,0.0026486,-0.0010723,-0.0017652,0.0014902
"174.05525",0.012541,-0.001215,0.0062232,0.0046498,0.0025859,0.0037075,0.0036708
"173.9938",-0.0018404,0.00053863,-0.0061774,0.0030047,-0.0011311,0.0030346,0.0048013
"174.08436",0.0029518,0.0046241,-0.0063772,0.0025477,-0.0013517,-0.0015776,0.0016662
"174.99088",-0.0073353,-0.017936,-0.0076621,0.0028043,0.0059845,-0.0030457,-0.008671
"174.95534",-0.0018299,0.0061343,-0.0048877,0.0017384,-0.0061471,-0.00035718,0.004963
"175.07556",0.012958,-0.0069695,0.010594,-0.01171,-0.017386,0.0098358,-0.0021381
"176.07067",-0.0024683,0.015694,-0.031123,0.0046059,0.035412,-0.048907,0.0094563
"179.0343",-0.0094171,-0.0027418,-0.018733,0.023153,0.014401,-0.0069788,0.0015082
"179.10687",-0.0013646,0.0060881,-0.0079741,0.0050661,-0.0019696,0.0034448,0.0032482
"180.03805",-0.0029995,0.0041799,-0.028603,0.043825,0.014584,-0.02231,-0.036914
"180.0659",-0.0048795,0.013776,-0.0040044,-0.0025232,0.0088476,-0.00027656,0.0055313
"181.04989",0.0046734,0.00064214,-0.0027688,-0.0014013,-0.0014964,0.0011858,-0.0057081
"181.08626",0.019659,-0.0027418,-0.0070085,0.0068862,0.0075107,0.0038976,-0.0066392
"181.06914",-0.0050392,0.010447,-0.0035031,-0.011253,0.015206,-0.004761,0.011007
"182.04513",-0.0002901,0.0001648,-0.0031024,-0.0092871,0.0013843,0.0017618,-0.0064544
"182.0816",-0.00211,-0.01253,0.011461,-0.0098744,0.00059254,-0.0067493,0.00032842
"183.04831",-0.0017209,0.00020546,-0.0012556,-0.018332,0.0062607,0.001609,-0.010394
"183.13817",0.0090599,0.0041658,0.016158,-0.0015258,-0.019132,0.022181,-2.1189e-05
"183.1383",0.012189,-0.021805,0.013635,-0.0062021,0.0092115,-0.0045834,-0.0065272
"184.09721",0.010442,0.01058,-0.0051949,-0.0049335,0.0010519,-0.013502,0.0052352
"185.10054",0.0091896,-0.00054968,0.01784,0.012014,0.0074255,-0.00094731,-0.01377
"186.02244",-0.0097118,-0.001956,0.0016909,0.01189,-0.0052321,-0.0065496,0.020024
"186.11289",0.0033957,-0.0059846,0.0019957,-0.0039233,0.0079994,-0.0024052,0.0058533
"186.11277",-0.0029024,-0.0021078,-0.0020097,0.0018713,-0.0088158,0.015206,0.0084658
"187.00637",-0.0030303,-0.0011595,0.018168,-0.0072264,-0.0034801,0.010486,0.005296
"187.03693",-0.00018212,-0.036832,0.023931,0.0036716,0.00079201,0.0070966,0.0035656
"187.13314",0.0055114,0.0063678,-0.0068247,-0.0024035,-0.0065013,-0.0058419,0.0059282
"187.09683",0.0064528,0.0069217,-0.0054232,-0.00022361,-0.0009806,-0.00065262,-0.0024576
"188.03257",0.0009176,0.0022857,-0.0062445,0.0048261,-0.0015886,0.0067357,0.003098
"188.00959",-0.0036772,-0.0075059,0.038904,-0.02783,0.0069794,0.017255,-0.0023536
"188.04019",-0.0089824,-0.031577,0.016907,0.0023429,0.005117,0.011626,0.011174
"188.09999",0.0066416,0.0069449,-0.0055537,-0.00010012,-0.00087273,-0.0005605,-0.002484
"188.0346",-0.0020662,0.014695,0.0038003,-0.016173,-0.002086,0.01367,-0.0072284
"189.03976",-0.0017446,0.0062706,-0.0086394,0.00034887,0.0066527,-0.0061988,0.0016046
"190.0519",-0.013553,0.0046312,0.012156,-0.038593,0.0299,-0.0050646,-0.015935
"190.05025",0.00020109,-0.0014621,0.0066128,-0.0088181,0.00079449,0.0065913,-0.0008933
"191.05349",0.0010167,-0.0017185,0.0087101,-0.0097062,-0.00042906,0.0084183,-0.0015651
"191.07069",0.0042951,-0.0013558,0.0097653,0.011103,0.009563,-0.0027785,0.0014417
"192.06599",-0.0013731,0.012311,-0.0099805,0.0031815,0.0036678,-0.006828,0.00088661
