"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"73.02799",0.75022,0.74455,0.74402,0.74435,0.74435
"87.04368",0.095024,0.11053,0.11611,0.11613,0.11613
"89.02297",0.45913,0.48958,0.48859,0.48848,0.48848
"90.02622",0.59659,0.75759,0.75619,0.75764,0.75763
"91.05389",0.44632,0.45206,0.45376,0.45379,0.45379
"92.05724",0.64606,0.66026,0.66377,0.66365,0.66364
"101.05949",0.093412,0.092328,0.10738,0.10834,0.10834
"101.05952",0.22267,0.23572,0.23628,0.23714,0.23713
"106.04106",0.78415,0.83295,0.83517,0.83489,0.83489
"107.04894",0.6721,0.67392,0.67254,0.67248,0.67248
"109.02822",0.18439,0.20916,0.20905,0.20907,0.20907
"111.08033",0.16525,0.16908,0.16939,0.16948,0.16948
"115.07526",0.58265,0.5767,0.57718,0.57725,0.57726
"115.07527",0.71372,0.70657,0.70792,0.70768,0.70767
"116.07055",0.36512,0.37529,0.37521,0.37512,0.37513
"117.07386",0.86669,0.86557,0.86428,0.86559,0.86563
"119.04908",0.81699,0.80956,0.80789,0.80761,0.8076
"120.05231",1.1497,1.1419,1.1399,1.1395,1.1395
"121.02834",0.040949,0.063757,0.071748,0.071833,0.071898
"121.06477",0.32915,0.35149,0.36583,0.36703,0.36704
"121.06475",0.54279,0.57319,0.57367,0.57349,0.57348
"122.03176",0.068736,0.074162,0.091175,0.09158,0.091716
"122.06803",0.46727,0.55607,0.56169,0.5616,0.5616
"123.04404",0.32427,0.35136,0.35117,0.35142,0.35143
"125.03453",0.11791,0.13071,0.13043,0.13043,0.13048
"125.09604",0.49496,0.49182,0.49144,0.49127,0.49127
"126.09939",0.55102,0.54744,0.54691,0.54672,0.54672
"127.03899",0.67472,0.69022,0.69437,0.6944,0.69439
"129.05456",0.035953,0.14245,0.14213,0.14221,0.14221
"129.09095",1.0698,1.0583,1.0559,1.0557,1.0557
"130.05784",0.37486,0.53115,0.53084,0.53155,0.53157
"130.06514",0.97873,0.97497,0.97565,0.97537,0.97536
"131.0365",0.17994,0.17838,0.18202,0.18276,0.18275
"131.07024",0.53906,0.53781,0.53672,0.53659,0.53659
"132.07355",0.73056,0.72853,0.72694,0.72685,0.72686
"135.04402",0.11922,0.12342,0.12373,0.12428,0.1243
"135.04394",1.8339,1.8196,1.8167,1.8163,1.8163
"135.04418",0.42622,0.47567,0.47906,0.47928,0.47927
"136.04728",1.1188,1.1076,1.1064,1.1064,1.1064
"136.07572",1.2248,1.2124,1.2097,1.2093,1.2093
"136.89064",1.6596,1.6516,1.6483,1.6478,1.6478
"137.0596",0.17831,0.17801,0.17761,0.18185,0.18188
"138.05497",0.28475,0.30757,0.30921,0.31075,0.31075
"139.05815",0.47293,0.4679,0.46696,0.46689,0.4669
"139.11174",0.53251,0.52657,0.52552,0.52536,0.52535
"141.01582",0.16278,0.18278,0.18238,0.18275,0.18275
"143.10661",0.35088,0.42588,0.43131,0.43118,0.43118
"143.07034",0.23583,0.27826,0.27947,0.27993,0.27993
"144.04442",0.032324,0.063869,0.069087,0.069428,0.069447
"144.04441",0.093974,0.10141,0.10151,0.10175,0.10176
"144.99824",0.017565,0.080825,0.081235,0.081551,0.08155
"145.0496",0.63482,0.62752,0.62613,0.62594,0.62593
"145.09722",0.21268,0.26782,0.26753,0.26746,0.26746
"146.06001",0.083626,0.084712,0.087018,0.088483,0.088482
"146.1002",0.22776,0.28478,0.28441,0.28435,0.28435
"146.9958",0.36066,0.3743,0.37818,0.37819,0.37823
"147.06334",0.10333,0.10323,0.1058,0.10708,0.10708
"149.05976",0.64881,0.65823,0.65682,0.65696,0.65696
"149.09611",1.6762,1.6568,1.6532,1.6535,1.6535
"150.06307",0.8021,0.81534,0.81356,0.81359,0.81359
"151.02522",0.073741,0.11143,0.114,0.114,0.114
